Task #1009405059: depth 5, type 2, seed 1009405059, output 3101023037 (0 descendants)
Task #215837840: depth 5, type 1, seed 215837840, output 238545 (0 descendants)
Task #2160120560: depth 5, type 3, seed 2160120560, output 9759 (0 descendants)
Task #2161146501: depth 5, type 2, seed 2161146501, output 2011766946 (0 descendants)
Task #2163042811: depth 5, type 2, seed 2163042811, output 1330287077 (0 descendants)
Task #2163710119: depth 5, type 2, seed 2163710119, output 952257082 (0 descendants)
Task #2168532814: depth 5, type 1, seed 2168532814, output 1019123 (0 descendants)
Task #2171402912: depth 4, type 2, seed 2171402912, output 2694469980 (4 descendants)
Task #217420441: depth 5, type 2, seed 217420441, output 2522790043 (0 descendants)
Task #2174711440: depth 5, type 3, seed 2174711440, output 11767 (0 descendants)
Task #218136960: depth 5, type 3, seed 218136960, output 19913 (0 descendants)
Task #2183837394: depth 5, type 5, seed 2183837394, output 1275578381 (0 descendants)
Task #2185694224: depth 5, type 5, seed 2185694224, output 3689138812 (0 descendants)
Task #2187678294: depth 5, type 4, seed 2187678294, output 825571638 (0 descendants)
Task #2189834141: depth 5, type 5, seed 2189834141, output 1628162920 (0 descendants)
Task #2189910257: depth 3, type 5, seed 2189910257, output 4023779709 (3 descendants)
Task #2190957275: depth 4, type 1, seed 2190957275, output 689768 (4 descendants)
Task #2192382263: depth 5, type 1, seed 2192382263, output 47545 (0 descendants)
Task #2195738259: depth 5, type 4, seed 2195738259, output 909455411 (0 descendants)
Task #2197137807: depth 5, type 2, seed 2197137807, output 1383924848 (0 descendants)
Task #2198829048: depth 5, type 2, seed 2198829048, output 550803758 (0 descendants)
Task #2201649318: depth 5, type 5, seed 2201649318, output 3823935008 (0 descendants)
Task #2204164329: depth 4, type 1, seed 2204164329, output 289072 (4 descendants)
Task #2207603100: depth 5, type 1, seed 2207603100, output 809520 (0 descendants)
Task #2211511679: depth 2, type 2, seed 2211511679, output 797850619 (3 descendants)
Task #2212669306: depth 5, type 1, seed 2212669306, output 1026919 (0 descendants)
Task #2214076803: depth 5, type 5, seed 2214076803, output 1207197643 (0 descendants)
Task #2219284714: depth 5, type 4, seed 2219284714, output 1633969251 (0 descendants)
Task #2219632960: depth 5, type 1, seed 2219632960, output 223736 (0 descendants)
Task #2219855459: depth 5, type 3, seed 2219855459, output 18614 (0 descendants)
Task #2220441468: depth 5, type 5, seed 2220441468, output 3651581519 (0 descendants)
Task #2224192268: depth 5, type 4, seed 2224192268, output 808935984 (0 descendants)
Task #2225626383: depth 5, type 1, seed 2225626383, output 717716 (0 descendants)
Task #2225841755: depth 5, type 3, seed 2225841755, output 22148 (0 descendants)
Task #2230628317: depth 5, type 5, seed 2230628317, output 1112813562 (0 descendants)
Task #2231075789: depth 5, type 3, seed 2231075789, output 27207 (0 descendants)
Task #2244026753: depth 5, type 4, seed 2244026753, output 858940723 (0 descendants)
Task #2244673218: depth 5, type 1, seed 2244673218, output 958012 (0 descendants)
Task #2253958265: depth 5, type 5, seed 2253958265, output 2703419721 (0 descendants)
Task #2259429762: depth 5, type 1, seed 2259429762, output 573963 (0 descendants)
Task #2259947608: depth 5, type 4, seed 2259947608, output 1681338673 (0 descendants)
Task #2269296865: depth 5, type 5, seed 2269296865, output 3412711543 (0 descendants)
Task #227031743: depth 5, type 3, seed 227031743, output 21147 (0 descendants)
Task #2270817579: depth 5, type 5, seed 2270817579, output 1161602652 (0 descendants)
Task #2271614030: depth 4, type 2, seed 2271614030, output 633852586 (5 descendants)
Task #2272560182: depth 5, type 5, seed 2272560182, output 1371099482 (0 descendants)
Task #2282295863: depth 5, type 5, seed 2282295863, output 3313706025 (0 descendants)
Task #2282498158: depth 5, type 1, seed 2282498158, output 991782 (0 descendants)
Task #2282566084: depth 5, type 2, seed 2282566084, output 819639969 (0 descendants)
Task #2282988835: depth 5, type 3, seed 2282988835, output 20272 (0 descendants)
Task #2286094996: depth 5, type 2, seed 2286094996, output 1263897609 (0 descendants)
Task #2293703566: depth 4, type 4, seed 2293703566, output 875966516 (3 descendants)
Task #2293815405: depth 5, type 3, seed 2293815405, output 23448 (0 descendants)
Task #2309726182: depth 5, type 3, seed 2309726182, output 13295 (0 descendants)
Task #2311025442: depth 5, type 1, seed 2311025442, output 402488 (0 descendants)
Task #2315927302: depth 5, type 2, seed 2315927302, output 3856398364 (0 descendants)
Task #2322400888: depth 5, type 3, seed 2322400888, output 18656 (0 descendants)
Task #2332018289: depth 5, type 1, seed 2332018289, output 292458 (0 descendants)
Task #233213876: depth 4, type 4, seed 233213876, output 1700935223 (4 descendants)
Task #2335336633: depth 5, type 3, seed 2335336633, output 19667 (0 descendants)
Task #2335907833: depth 5, type 5, seed 2335907833, output 537590838 (0 descendants)
Task #2336640141: depth 5, type 2, seed 2336640141, output 2095800566 (0 descendants)
Task #2340168209: depth 5, type 5, seed 2340168209, output 3934028007 (0 descendants)
Task #2342279209: depth 4, type 5, seed 2342279209, output 743336117 (3 descendants)
Task #2346699162: depth 4, type 1, seed 2346699162, output 737993 (5 descendants)
Task #2348860109: depth 5, type 1, seed 2348860109, output 679288 (0 descendants)
Task #2349406157: depth 5, type 1, seed 2349406157, output 427117 (0 descendants)
Task #2350585286: depth 5, type 3, seed 2350585286, output 16791 (0 descendants)
Task #2365440426: depth 4, type 3, seed 2365440426, output 15374 (3 descendants)
Task #2378549616: depth 5, type 4, seed 2378549616, output 1681154361 (0 descendants)
Task #2385131497: depth 5, type 5, seed 2385131497, output 2414664716 (0 descendants)
Task #2386322824: depth 4, type 4, seed 2386322824, output 926507621 (4 descendants)
Task #2387418053: depth 4, type 5, seed 2387418053, output 2429949584 (5 descendants)
Task #2389026184: depth 5, type 5, seed 2389026184, output 245047094 (0 descendants)
Task #2391201052: depth 3, type 1, seed 2391201052, output 417316 (4 descendants)
Task #2393390662: depth 5, type 2, seed 2393390662, output 233668001 (0 descendants)
Task #2393644292: depth 5, type 1, seed 2393644292, output 355382 (0 descendants)
Task #2408457106: depth 5, type 4, seed 2408457106, output 1667524194 (0 descendants)
Task #2411285304: depth 3, type 1, seed 2411285304, output 674722 (4 descendants)
Task #2418163649: depth 3, type 1, seed 2418163649, output 831544 (5 descendants)
Task #2418221503: depth 5, type 1, seed 2418221503, output 1057363 (0 descendants)
Task #2421245154: depth 5, type 5, seed 2421245154, output 3022550223 (0 descendants)
Task #2423782095: depth 5, type 1, seed 2423782095, output 529242 (0 descendants)
Task #2423794523: depth 4, type 1, seed 2423794523, output 740218 (4 descendants)
Task #242719112: depth 4, type 2, seed 242719112, output 734321613 (4 descendants)
Task #2434392726: depth 5, type 2, seed 2434392726, output 1168948485 (0 descendants)
Task #2435629917: depth 5, type 4, seed 2435629917, output 1684354356 (0 descendants)
Task #2436611197: depth 5, type 4, seed 2436611197, output 1634087013 (0 descendants)
Task #2437803443: depth 5, type 1, seed 2437803443, output 286842 (0 descendants)
Task #2439483047: depth 5, type 1, seed 2439483047, output 366357 (0 descendants)
Task #2440165610: depth 5, type 3, seed 2440165610, output 13655 (0 descendants)
Task #2446867191: depth 5, type 4, seed 2446867191, output 1664181300 (0 descendants)
Task #2448704274: depth 5, type 4, seed 2448704274, output 959984694 (0 descendants)
Task #2450888310: depth 4, type 5, seed 2450888310, output 2737504603 (3 descendants)
Task #2455110069: depth 2, type 3, seed 2455110069, output 13706 (3 descendants)
Task #2456000272: depth 5, type 3, seed 2456000272, output 11363 (0 descendants)
Task #2458887660: depth 5, type 3, seed 2458887660, output 15495 (0 descendants)
Task #2460055678: depth 5, type 1, seed 2460055678, output 544440 (0 descendants)
Task #2460303327: depth 5, type 2, seed 2460303327, output 219747679 (0 descendants)
Task #2460474624: depth 5, type 3, seed 2460474624, output 14445 (0 descendants)
Task #2462306035: depth 5, type 4, seed 2462306035, output 1697998134 (0 descendants)
Task #2463617332: depth 5, type 3, seed 2463617332, output 11637 (0 descendants)
Task #2472392009: depth 5, type 5, seed 2472392009, output 1076012644 (0 descendants)
Task #2483696747: depth 5, type 4, seed 2483696747, output 1647404086 (0 descendants)
Task #2485068905: depth 4, type 3, seed 2485068905, output 15810 (3 descendants)
Task #2486214209: depth 5, type 5, seed 2486214209, output 729962067 (0 descendants)
Task #2486586349: depth 3, type 1, seed 2486586349, output 197641 (5 descendants)
Task #2489442060: depth 5, type 3, seed 2489442060, output 16187 (0 descendants)
Task #2490095979: depth 5, type 5, seed 2490095979, output 3377057521 (0 descendants)
Task #2491436367: depth 5, type 2, seed 2491436367, output 3331462287 (0 descendants)
Task #2492545313: depth 5, type 2, seed 2492545313, output 1686206531 (0 descendants)
Task #2495284592: depth 5, type 2, seed 2495284592, output 3793888538 (0 descendants)
Task #249736706: depth 5, type 1, seed 249736706, output 802481 (0 descendants)
Task #2498637157: depth 5, type 1, seed 2498637157, output 630155 (0 descendants)
Task #2498838254: depth 5, type 1, seed 2498838254, output 630837 (0 descendants)
Task #2501322996: depth 4, type 5, seed 2501322996, output 2551665006 (4 descendants)
Task #2503431372: depth 5, type 3, seed 2503431372, output 13220 (0 descendants)
Task #2507825628: depth 5, type 5, seed 2507825628, output 3015011035 (0 descendants)
Task #2510190076: depth 5, type 4, seed 2510190076, output 959853109 (0 descendants)
Task #2513140864: depth 4, type 2, seed 2513140864, output 277205993 (4 descendants)
Task #2520558056: depth 5, type 1, seed 2520558056, output 664817 (0 descendants)
Task #252254959: depth 5, type 5, seed 252254959, output 3352208616 (0 descendants)
Task #253317543: depth 5, type 1, seed 253317543, output 136444 (0 descendants)
Task #2542657577: depth 5, type 3, seed 2542657577, output 10365 (0 descendants)
Task #2551494480: depth 5, type 3, seed 2551494480, output 13776 (0 descendants)
Task #2551791340: depth 5, type 3, seed 2551791340, output 14206 (0 descendants)
Task #2569065529: depth 4, type 2, seed 2569065529, output 84491957 (5 descendants)
Task #2571336856: depth 5, type 2, seed 2571336856, output 211168192 (0 descendants)
Task #2572184085: depth 5, type 1, seed 2572184085, output 404241 (0 descendants)
Task #2573276086: depth 5, type 3, seed 2573276086, output 15343 (0 descendants)
Task #257429618: depth 4, type 4, seed 257429618, output 959799652 (5 descendants)
Task #2577023907: depth 5, type 1, seed 2577023907, output 106020 (0 descendants)
Task #258111216: depth 5, type 3, seed 258111216, output 21373 (0 descendants)
Task #2587211783: depth 5, type 4, seed 2587211783, output 946169398 (0 descendants)
Task #2587921238: depth 5, type 3, seed 2587921238, output 19395 (0 descendants)
Task #25917398: depth 5, type 5, seed 25917398, output 316518330 (0 descendants)
Task #2592759192: depth 5, type 4, seed 2592759192, output 845362744 (0 descendants)
Task #2595800522: depth 5, type 3, seed 2595800522, output 17624 (0 descendants)
Task #2599651584: depth 4, type 1, seed 2599651584, output 293259 (4 descendants)
Task #2606810884: depth 5, type 2, seed 2606810884, output 1359981253 (0 descendants)
Task #2607278497: depth 5, type 4, seed 2607278497, output 1647588195 (0 descendants)
Task #2609090451: depth 5, type 1, seed 2609090451, output 982303 (0 descendants)
Task #2610944201: depth 5, type 2, seed 2610944201, output 3864846597 (0 descendants)
Task #2621363759: depth 5, type 1, seed 2621363759, output 247352 (0 descendants)
Task #262493878: depth 4, type 1, seed 262493878, output 115955 (4 descendants)
Task #2633161568: depth 5, type 3, seed 2633161568, output 18077 (0 descendants)
Task #263347664: depth 5, type 2, seed 263347664, output 782267646 (0 descendants)
Task #2633927778: depth 5, type 4, seed 2633927778, output 943206497 (0 descendants)
Task #2635635659: depth 4, type 3, seed 2635635659, output 20232 (5 descendants)
Task #2641997005: depth 5, type 4, seed 2641997005, output 1714697782 (0 descendants)
Task #2643187604: depth 5, type 3, seed 2643187604, output 14609 (0 descendants)
Task #264371225: depth 5, type 1, seed 264371225, output 378009 (0 descendants)
Task #2648477361: depth 5, type 4, seed 2648477361, output 912614499 (0 descendants)
Task #265844833: depth 5, type 3, seed 265844833, output 12953 (0 descendants)
Task #2661803092: depth 5, type 5, seed 2661803092, output 1487072230 (0 descendants)
Task #2663100422: depth 5, type 2, seed 2663100422, output 1637848121 (0 descendants)
Task #2663953635: depth 5, type 4, seed 2663953635, output 959734070 (0 descendants)
Task #2664007090: depth 5, type 4, seed 2664007090, output 811873382 (0 descendants)
Task #266888984: depth 5, type 4, seed 266888984, output 1684235575 (0 descendants)
Task #2668973915: depth 5, type 5, seed 2668973915, output 197601515 (0 descendants)
Task #2670379410: depth 5, type 4, seed 2670379410, output 811688245 (0 descendants)
Task #2672875697: depth 5, type 5, seed 2672875697, output 3772955232 (0 descendants)
Task #267998735: depth 5, type 2, seed 267998735, output 262416390 (0 descendants)
Task #2682805006: depth 3, type 3, seed 2682805006, output 22216 (4 descendants)
Task #2695338954: depth 4, type 1, seed 2695338954, output 198912 (5 descendants)
Task #270303469: depth 5, type 1, seed 270303469, output 753286 (0 descendants)
Task #2706905257: depth 5, type 4, seed 2706905257, output 1630943280 (0 descendants)
Task #2707669615: depth 5, type 2, seed 2707669615, output 3021351818 (0 descendants)
Task #2710770360: depth 5, type 2, seed 2710770360, output 3566734861 (0 descendants)
Task #2712341703: depth 5, type 3, seed 2712341703, output 13534 (0 descendants)
Task #2713076339: depth 4, type 2, seed 2713076339, output 883367677 (4 descendants)
Task #2715463329: depth 5, type 4, seed 2715463329, output 1698259760 (0 descendants)
Task #2721687924: depth 3, type 1, seed 2721687924, output 507446 (5 descendants)
Task #2733258085: depth 4, type 2, seed 2733258085, output 111463834 (5 descendants)
Task #2737467380: depth 4, type 2, seed 2737467380, output 1902543458 (4 descendants)
Task #2737737444: depth 4, type 2, seed 2737737444, output 3585182046 (5 descendants)
Task #275692586: depth 5, type 4, seed 275692586, output 825700917 (0 descendants)
Task #2758988815: depth 5, type 1, seed 2758988815, output 804268 (0 descendants)
Task #2759151065: depth 4, type 5, seed 2759151065, output 2724036212 (4 descendants)
Task #2763537512: depth 5, type 4, seed 2763537512, output 1698182969 (0 descendants)
Task #2767426848: depth 5, type 2, seed 2767426848, output 2525701288 (0 descendants)
Task #2768949459: depth 5, type 4, seed 2768949459, output 926036534 (0 descendants)
Task #2771855539: depth 5, type 5, seed 2771855539, output 1440497137 (0 descendants)
Task #277675402: depth 5, type 2, seed 277675402, output 2151258718 (0 descendants)
Task #2777723299: depth 5, type 3, seed 2777723299, output 11941 (0 descendants)
Task #278084750: depth 5, type 4, seed 278084750, output 1664366181 (0 descendants)
Task #2782219443: depth 5, type 1, seed 2782219443, output 741161 (0 descendants)
Task #2782389724: depth 5, type 3, seed 2782389724, output 13906 (0 descendants)
Task #2796951214: depth 5, type 5, seed 2796951214, output 4070751944 (0 descendants)
Task #2805693828: depth 3, type 2, seed 2805693828, output 2762397142 (3 descendants)
Task #2806917813: depth 5, type 1, seed 2806917813, output 234490 (0 descendants)
Task #2807293451: depth 4, type 4, seed 2807293451, output 876033336 (3 descendants)
Task #2814867263: depth 5, type 1, seed 2814867263, output 714062 (0 descendants)
Task #2816180138: depth 5, type 3, seed 2816180138, output 21544 (0 descendants)
Task #2822803678: depth 5, type 1, seed 2822803678, output 216475 (0 descendants)
Task #2829327145: depth 5, type 2, seed 2829327145, output 2258945771 (0 descendants)
Task #2834102119: depth 5, type 1, seed 2834102119, output 1048306 (0 descendants)
Task #2844447127: depth 5, type 3, seed 2844447127, output 15747 (0 descendants)
Task #2845528372: depth 5, type 5, seed 2845528372, output 4150819356 (0 descendants)
Task #2846362080: depth 4, type 4, seed 2846362080, output 1684300084 (4 descendants)
Task #2857062776: depth 5, type 5, seed 2857062776, output 715844237 (0 descendants)
Task #2858645323: depth 3, type 5, seed 2858645323, output 2013440568 (3 descendants)
Task #2860284482: depth 5, type 1, seed 2860284482, output 253556 (0 descendants)
Task #2863550429: depth 5, type 5, seed 2863550429, output 3356614586 (0 descendants)
Task #286616149: depth 5, type 4, seed 286616149, output 959473207 (0 descendants)
Task #2872311612: depth 4, type 1, seed 2872311612, output 718032 (3 descendants)
Task #2882706955: depth 4, type 5, seed 2882706955, output 2787479118 (3 descendants)
Task #2886462094: depth 5, type 2, seed 2886462094, output 1203903289 (0 descendants)
Task #2889531108: depth 5, type 2, seed 2889531108, output 3978426379 (0 descendants)
Task #2891657940: depth 3, type 2, seed 2891657940, output 1106364784 (5 descendants)
Task #2899558420: depth 5, type 1, seed 2899558420, output 314793 (0 descendants)
Task #2899817599: depth 4, type 4, seed 2899817599, output 845295927 (4 descendants)
Task #2901921023: depth 5, type 3, seed 2901921023, output 21065 (0 descendants)
Task #2903781736: depth 5, type 3, seed 2903781736, output 16678 (0 descendants)
Task #2904583153: depth 4, type 5, seed 2904583153, output 3405508832 (4 descendants)
Task #2904710084: depth 4, type 3, seed 2904710084, output 13030 (4 descendants)
Task #2905265196: depth 5, type 5, seed 2905265196, output 1395220103 (0 descendants)
Task #2909403730: depth 4, type 3, seed 2909403730, output 12063 (4 descendants)
Task #2914115069: depth 5, type 2, seed 2914115069, output 2662965799 (0 descendants)
Task #2921181425: depth 5, type 4, seed 2921181425, output 1701143862 (0 descendants)
Task #2926776895: depth 4, type 5, seed 2926776895, output 2869640198 (4 descendants)
Task #2927013716: depth 5, type 2, seed 2927013716, output 2330011335 (0 descendants)
Task #2929715752: depth 5, type 4, seed 2929715752, output 1650866485 (0 descendants)
Task #2930867986: depth 5, type 2, seed 2930867986, output 211573308 (0 descendants)
Task #2934177104: depth 5, type 1, seed 2934177104, output 519558 (0 descendants)
Task #2935894581: depth 3, type 5, seed 2935894581, output 672482558 (3 descendants)
Task #2938379318: depth 4, type 5, seed 2938379318, output 431578354 (4 descendants)
Task #2939989859: depth 4, type 3, seed 2939989859, output 14468 (3 descendants)
Task #2940649647: depth 5, type 2, seed 2940649647, output 4186575644 (0 descendants)
Task #2948496610: depth 4, type 3, seed 2948496610, output 15843 (4 descendants)
Task #2953918025: depth 5, type 1, seed 2953918025, output 168971 (0 descendants)
Task #2964194191: depth 5, type 5, seed 2964194191, output 4217383237 (0 descendants)
Task #2967671830: depth 3, type 5, seed 2967671830, output 3060439344 (4 descendants)
Task #2969307727: depth 4, type 2, seed 2969307727, output 2165414487 (4 descendants)
Task #2972150290: depth 4, type 1, seed 2972150290, output 660197 (5 descendants)
Task #2973093994: depth 3, type 3, seed 2973093994, output 15540 (4 descendants)
Task #2979479528: depth 5, type 4, seed 2979479528, output 912614758 (0 descendants)
Task #2979894128: depth 5, type 4, seed 2979894128, output 959984180 (0 descendants)
Task #2983011790: depth 5, type 1, seed 2983011790, output 719059 (0 descendants)
Task #2984109564: depth 4, type 5, seed 2984109564, output 2021491273 (3 descendants)
Task #2997175587: depth 5, type 3, seed 2997175587, output 15049 (0 descendants)
Task #2997898358: depth 5, type 1, seed 2997898358, output 835537 (0 descendants)
Task #299792458: depth 0, type 3, seed 299792458, output 21899 (4 descendants)
Task #3003969199: depth 5, type 2, seed 3003969199, output 4010172551 (0 descendants)
Task #3006207340: depth 5, type 2, seed 3006207340, output 966066060 (0 descendants)
Task #3006870685: depth 5, type 4, seed 3006870685, output 859005234 (0 descendants)
Task #3010194688: depth 4, type 5, seed 3010194688, output 2936775610 (3 descendants)
Task #3011643916: depth 4, type 3, seed 3011643916, output 10257 (4 descendants)
Task #3027122249: depth 5, type 4, seed 3027122249, output 842152292 (0 descendants)
Task #3042846468: depth 4, type 2, seed 3042846468, output 4283341340 (3 descendants)
Task #3047597241: depth 5, type 3, seed 3047597241, output 12649 (0 descendants)
Task #3048214263: depth 5, type 3, seed 3048214263, output 24487 (0 descendants)
Task #3048491270: depth 4, type 1, seed 3048491270, output 781555 (3 descendants)
Task #30485498: depth 5, type 4, seed 30485498, output 1667315044 (0 descendants)
Task #3051741780: depth 5, type 2, seed 3051741780, output 1006438088 (0 descendants)
Task #3051789152: depth 5, type 2, seed 3051789152, output 2954883689 (0 descendants)
Task #3053698519: depth 5, type 3, seed 3053698519, output 27299 (0 descendants)
Task #3056071916: depth 4, type 1, seed 3056071916, output 369610 (5 descendants)
Task #3067994401: depth 1, type 1, seed 3067994401, output 120668 (4 descendants)
Task #306981637: depth 5, type 3, seed 306981637, output 18798 (0 descendants)
Task #307399939: depth 3, type 2, seed 307399939, output 358982408 (3 descendants)
Task #3075110047: depth 4, type 2, seed 3075110047, output 1419644856 (4 descendants)
Task #3075839963: depth 4, type 3, seed 3075839963, output 26850 (3 descendants)
Task #3076833966: depth 5, type 1, seed 3076833966, output 942251 (0 descendants)
Task #3078988446: depth 5, type 4, seed 3078988446, output 1684288568 (0 descendants)
Task #3079376631: depth 4, type 4, seed 3079376631, output 1631007073 (4 descendants)
Task #3085824208: depth 5, type 3, seed 3085824208, output 19040 (0 descendants)
Task #3086741664: depth 5, type 2, seed 3086741664, output 3613982510 (0 descendants)
Task #3089524944: depth 5, type 2, seed 3089524944, output 4260597418 (0 descendants)
Task #3095753639: depth 5, type 4, seed 3095753639, output 1715025972 (0 descendants)
Task #3098043961: depth 5, type 1, seed 3098043961, output 850258 (0 descendants)
Task #3099989279: depth 5, type 1, seed 3099989279, output 104498 (0 descendants)
Task #3101269925: depth 5, type 2, seed 3101269925, output 2942592139 (0 descendants)
Task #3103919948: depth 3, type 2, seed 3103919948, output 2532132402 (4 descendants)
Task #3104914017: depth 5, type 5, seed 3104914017, output 1113511158 (0 descendants)
Task #3106235583: depth 5, type 3, seed 3106235583, output 14159 (0 descendants)
Task #310903198: depth 5, type 5, seed 310903198, output 650959594 (0 descendants)
Task #311636775: depth 5, type 4, seed 311636775, output 825242674 (0 descendants)
Task #3118148908: depth 5, type 1, seed 3118148908, output 1056697 (0 descendants)
Task #3125058497: depth 5, type 3, seed 3125058497, output 24268 (0 descendants)
Task #3127273122: depth 5, type 4, seed 3127273122, output 828596530 (0 descendants)
Task #3127384896: depth 1, type 5, seed 3127384896, output 1790718999 (4 descendants)
Task #3130328557: depth 3, type 2, seed 3130328557, output 822413664 (3 descendants)
Task #313135059: depth 4, type 5, seed 313135059, output 3450417363 (3 descendants)
Task #3133025050: depth 5, type 5, seed 3133025050, output 1020368398 (0 descendants)
Task #3139005249: depth 5, type 4, seed 3139005249, output 859059300 (0 descendants)
Task #3139644809: depth 5, type 5, seed 3139644809, output 460001552 (0 descendants)
Task #3140944408: depth 4, type 5, seed 3140944408, output 2559019822 (5 descendants)
Task #3142434659: depth 5, type 5, seed 3142434659, output 969539449 (0 descendants)
Task #314410300: depth 5, type 3, seed 314410300, output 21352 (0 descendants)
Task #3145592074: depth 5, type 1, seed 3145592074, output 193031 (0 descendants)
Task #3146053698: depth 4, type 3, seed 3146053698, output 22990 (4 descendants)
Task #3153833491: depth 5, type 2, seed 3153833491, output 3155111451 (0 descendants)
Task #3160051958: depth 3, type 1, seed 3160051958, output 982507 (5 descendants)
Task #316787193: depth 5, type 2, seed 316787193, output 2581189559 (0 descendants)
Task #3168060815: depth 3, type 5, seed 3168060815, output 3361633991 (4 descendants)
Task #3169617677: depth 5, type 3, seed 3169617677, output 20592 (0 descendants)
Task #3172735250: depth 5, type 4, seed 3172735250, output 1634034275 (0 descendants)
Task #317412326: depth 5, type 3, seed 317412326, output 17235 (0 descendants)
Task #3175218062: depth 5, type 1, seed 3175218062, output 29037 (0 descendants)
Task #3180520337: depth 4, type 1, seed 3180520337, output 911056 (5 descendants)
Task #3185558490: depth 5, type 1, seed 3185558490, output 171292 (0 descendants)
Task #3186719235: depth 5, type 2, seed 3186719235, output 3382753104 (0 descendants)
Task #3189218835: depth 4, type 4, seed 3189218835, output 929445221 (4 descendants)
Task #3191837256: depth 5, type 2, seed 3191837256, output 1952959658 (0 descendants)
Task #3197990140: depth 5, type 2, seed 3197990140, output 3087050052 (0 descendants)
Task #3201200791: depth 5, type 4, seed 3201200791, output 1698260274 (0 descendants)
Task #320309134: depth 4, type 2, seed 320309134, output 1111511484 (4 descendants)
Task #3204209373: depth 4, type 2, seed 3204209373, output 1170571121 (4 descendants)
Task #3206329756: depth 5, type 5, seed 3206329756, output 3464135788 (0 descendants)
Task #320925739: depth 5, type 4, seed 320925739, output 1680958565 (0 descendants)
Task #3209468044: depth 5, type 4, seed 3209468044, output 946222897 (0 descendants)
Task #3215488205: depth 5, type 3, seed 3215488205, output 16818 (0 descendants)
Task #3215800804: depth 4, type 2, seed 3215800804, output 1180222151 (3 descendants)
Task #3216089223: depth 5, type 3, seed 3216089223, output 18579 (0 descendants)
Task #3221853765: depth 5, type 2, seed 3221853765, output 3922706612 (0 descendants)
Task #3222090840: depth 4, type 4, seed 3222090840, output 1664430132 (5 descendants)
Task #3222540298: depth 5, type 4, seed 3222540298, output 1714512183 (0 descendants)
Task #3223351911: depth 5, type 4, seed 3223351911, output 1681340215 (0 descendants)
Task #3223820668: depth 5, type 5, seed 3223820668, output 1153363436 (0 descendants)
Task #322452343: depth 5, type 4, seed 322452343, output 1634089267 (0 descendants)
Task #3225270127: depth 5, type 1, seed 3225270127, output 613038 (0 descendants)
Task #3233247580: depth 5, type 2, seed 3233247580, output 3164417765 (0 descendants)
Task #3235183422: depth 5, type 2, seed 3235183422, output 1841001501 (0 descendants)
Task #3241862577: depth 5, type 4, seed 3241862577, output 926179634 (0 descendants)
Task #3242365017: depth 5, type 5, seed 3242365017, output 4017163798 (0 descendants)
Task #3247005251: depth 5, type 4, seed 3247005251, output 862074979 (0 descendants)
Task #3254845023: depth 4, type 4, seed 3254845023, output 1697658164 (4 descendants)
Task #3257881518: depth 4, type 2, seed 3257881518, output 668917554 (4 descendants)
Task #3265802965: depth 5, type 1, seed 3265802965, output 47809 (0 descendants)
Task #3265930632: depth 5, type 3, seed 3265930632, output 19281 (0 descendants)
Task #3267911524: depth 4, type 3, seed 3267911524, output 18434 (5 descendants)
Task #3270139323: depth 5, type 2, seed 3270139323, output 281766789 (0 descendants)
Task #3272364831: depth 5, type 4, seed 3272364831, output 962802224 (0 descendants)
Task #3273932272: depth 5, type 4, seed 3273932272, output 1664626995 (0 descendants)
Task #32828449: depth 2, type 5, seed 32828449, output 2489249706 (5 descendants)
Task #3286374881: depth 5, type 3, seed 3286374881, output 22222 (0 descendants)
Task #3288307615: depth 5, type 3, seed 3288307615, output 17369 (0 descendants)
Task #3291887654: depth 3, type 2, seed 3291887654, output 50934086 (4 descendants)
Task #3292754549: depth 5, type 4, seed 3292754549, output 859072052 (0 descendants)
Task #3296504987: depth 5, type 4, seed 3296504987, output 1697985894 (0 descendants)
Task #3299968575: depth 5, type 2, seed 3299968575, output 330661074 (0 descendants)
Task #330257050: depth 5, type 2, seed 330257050, output 1774252416 (0 descendants)
Task #3305529948: depth 5, type 2, seed 3305529948, output 3490677320 (0 descendants)
Task #3306832621: depth 5, type 4, seed 3306832621, output 959459638 (0 descendants)
Task #3308355789: depth 5, type 4, seed 3308355789, output 878850105 (0 descendants)
Task #3308667147: depth 5, type 2, seed 3308667147, output 1036634986 (0 descendants)
Task #3308841292: depth 5, type 2, seed 3308841292, output 1691209023 (0 descendants)
Task #330942467: depth 5, type 1, seed 330942467, output 68185 (0 descendants)
Task #3310208090: depth 4, type 5, seed 3310208090, output 4009759797 (5 descendants)
Task #3310565790: depth 5, type 5, seed 3310565790, output 3618967624 (0 descendants)
Task #3329622228: depth 5, type 3, seed 3329622228, output 28461 (0 descendants)
Task #3333926568: depth 5, type 4, seed 3333926568, output 1697789491 (0 descendants)
Task #3333940605: depth 3, type 3, seed 3333940605, output 18732 (4 descendants)
Task #3334162741: depth 5, type 2, seed 3334162741, output 3686352626 (0 descendants)
Task #3334322530: depth 4, type 5, seed 3334322530, output 2933093203 (3 descendants)
Task #3335503212: depth 5, type 1, seed 3335503212, output 315761 (0 descendants)
Task #3339105241: depth 5, type 1, seed 3339105241, output 77124 (0 descendants)
Task #3339345244: depth 5, type 1, seed 3339345244, output 743210 (0 descendants)
Task #3343679749: depth 5, type 2, seed 3343679749, output 4244048678 (0 descendants)
