Task #1003913882: depth 12, type 2, seed 1003913882, output 1694948583 (0 descendants)
Task #1974431783: depth 11, type 4, seed 1974431783, output 862086498 (0 descendants)
Task #1974619368: depth 10, type 2, seed 1974619368, output 1319154451 (1 descendants)
Task #1975241864: depth 10, type 2, seed 1975241864, output 2385646271 (1 descendants)
Task #19770132: depth 12, type 3, seed 19770132, output 14585 (0 descendants)
Task #1983429668: depth 11, type 1, seed 1983429668, output 648378 (2 descendants)
Task #1985486123: depth 12, type 4, seed 1985486123, output 1650865465 (0 descendants)
Task #1986095981: depth 12, type 1, seed 1986095981, output 868671 (0 descendants)
Task #199967195: depth 10, type 1, seed 199967195, output 999173 (3 descendants)
Task #2000164752: depth 12, type 2, seed 2000164752, output 1392374095 (0 descendants)
Task #2011285061: depth 11, type 1, seed 2011285061, output 745231 (2 descendants)
Task #2013183096: depth 12, type 5, seed 2013183096, output 2209247788 (0 descendants)
Task #2013318604: depth 10, type 1, seed 2013318604, output 1006314 (2 descendants)
Task #2014662889: depth 11, type 2, seed 2014662889, output 1836473663 (2 descendants)
Task #2019412576: depth 11, type 3, seed 2019412576, output 20372 (0 descendants)
Task #2023896420: depth 12, type 3, seed 2023896420, output 15231 (0 descendants)
Task #2024174551: depth 12, type 5, seed 2024174551, output 2391108099 (0 descendants)
Task #2024636586: depth 12, type 3, seed 2024636586, output 16875 (0 descendants)
Task #2027309841: depth 10, type 1, seed 2027309841, output 800822 (4 descendants)
Task #2027664798: depth 12, type 1, seed 2027664798, output 205292 (0 descendants)
Task #2031308340: depth 11, type 1, seed 2031308340, output 531452 (3 descendants)
Task #2031358645: depth 12, type 3, seed 2031358645, output 11221 (0 descendants)
Task #2034639767: depth 12, type 3, seed 2034639767, output 21026 (0 descendants)
Task #2037779718: depth 9, type 5, seed 2037779718, output 209198925 (1 descendants)
Task #204169188: depth 12, type 3, seed 204169188, output 28816 (0 descendants)
Task #2051723618: depth 12, type 1, seed 2051723618, output 965917 (0 descendants)
Task #2054075444: depth 12, type 4, seed 2054075444, output 962737464 (0 descendants)
Task #2075555314: depth 12, type 2, seed 2075555314, output 291372055 (0 descendants)
Task #2075676813: depth 10, type 4, seed 2075676813, output 811938866 (3 descendants)
Task #2084663687: depth 8, type 4, seed 2084663687, output 1681077561 (0 descendants)
Task #208873112: depth 10, type 2, seed 208873112, output 2524071370 (3 descendants)
Task #2090979214: depth 12, type 2, seed 2090979214, output 2515534899 (0 descendants)
Task #209137497: depth 10, type 1, seed 209137497, output 1006966 (1 descendants)
Task #2098506307: depth 12, type 1, seed 2098506307, output 761248 (0 descendants)
Task #2098919693: depth 12, type 4, seed 2098919693, output 1680957793 (0 descendants)
Task #2103537583: depth 9, type 2, seed 2103537583, output 3809277657 (2 descendants)
Task #2106750927: depth 12, type 4, seed 2106750927, output 858809143 (0 descendants)
Task #2109663822: depth 10, type 4, seed 2109663822, output 962999863 (1 descendants)
Task #2113935050: depth 12, type 2, seed 2113935050, output 1205952712 (0 descendants)
Task #2116081772: depth 12, type 5, seed 2116081772, output 1656987862 (0 descendants)
Task #211918829: depth 12, type 4, seed 211918829, output 1664626741 (0 descendants)
Task #2123374132: depth 12, type 2, seed 2123374132, output 921975004 (0 descendants)
Task #212368570: depth 9, type 3, seed 212368570, output 11455 (2 descendants)
Task #2125288335: depth 11, type 3, seed 2125288335, output 11790 (4 descendants)
Task #2131120405: depth 11, type 2, seed 2131120405, output 1070529086 (1 descendants)
Task #2132009116: depth 11, type 4, seed 2132009116, output 825702194 (0 descendants)
Task #2135317951: depth 10, type 3, seed 2135317951, output 15232 (0 descendants)
Task #2136668547: depth 8, type 4, seed 2136668547, output 895760738 (1 descendants)
Task #2137925561: depth 9, type 2, seed 2137925561, output 1489663125 (3 descendants)
Task #2138952945: depth 12, type 3, seed 2138952945, output 19043 (0 descendants)
Task #214557874: depth 9, type 1, seed 214557874, output 967994 (1 descendants)
Task #2146683551: depth 8, type 4, seed 2146683551, output 912536678 (4 descendants)
Task #214723779: depth 12, type 4, seed 214723779, output 892745778 (0 descendants)
Task #2151880864: depth 11, type 3, seed 2151880864, output 16016 (0 descendants)
Task #2152384912: depth 11, type 2, seed 2152384912, output 2171600456 (1 descendants)
Task #2157172325: depth 12, type 1, seed 2157172325, output 503906 (0 descendants)
Task #2159105055: depth 12, type 3, seed 2159105055, output 20487 (0 descendants)
Task #2170709576: depth 6, type 4, seed 2170709576, output 842162489 (2 descendants)
Task #217104323: depth 7, type 2, seed 217104323, output 2990612853 (3 descendants)
Task #2176987883: depth 11, type 4, seed 2176987883, output 946026339 (2 descendants)
Task #2180729549: depth 11, type 4, seed 2180729549, output 859268661 (1 descendants)
Task #218372645: depth 11, type 4, seed 218372645, output 1717855799 (2 descendants)
Task #2185343290: depth 12, type 4, seed 2185343290, output 828597601 (0 descendants)
Task #2189663509: depth 10, type 5, seed 2189663509, output 2206627537 (0 descendants)
Task #2193054744: depth 12, type 4, seed 2193054744, output 942945638 (0 descendants)
Task #2194267312: depth 12, type 3, seed 2194267312, output 19480 (0 descendants)
Task #2197397455: depth 9, type 1, seed 2197397455, output 657411 (2 descendants)
Task #220707360: depth 10, type 1, seed 220707360, output 896213 (3 descendants)
Task #2210783063: depth 8, type 4, seed 2210783063, output 1647915832 (1 descendants)
Task #2211157654: depth 12, type 3, seed 2211157654, output 9748 (0 descendants)
Task #2211162712: depth 12, type 4, seed 2211162712, output 859398966 (0 descendants)
Task #2213406976: depth 12, type 1, seed 2213406976, output 415697 (0 descendants)
Task #2215208679: depth 8, type 1, seed 2215208679, output 171350 (1 descendants)
Task #2216952248: depth 9, type 2, seed 2216952248, output 2824458502 (1 descendants)
Task #2219879307: depth 9, type 1, seed 2219879307, output 855234 (1 descendants)
Task #22271507: depth 12, type 2, seed 22271507, output 4079219161 (0 descendants)
Task #2227728864: depth 12, type 2, seed 2227728864, output 3613679548 (0 descendants)
Task #2232476047: depth 10, type 1, seed 2232476047, output 851521 (1 descendants)
Task #2233129121: depth 11, type 3, seed 2233129121, output 20180 (2 descendants)
Task #2233606699: depth 11, type 4, seed 2233606699, output 959537456 (2 descendants)
Task #2241249247: depth 8, type 4, seed 2241249247, output 1715037281 (2 descendants)
Task #2248312811: depth 11, type 4, seed 2248312811, output 1647457894 (1 descendants)
Task #2252195427: depth 9, type 5, seed 2252195427, output 1714234940 (1 descendants)
Task #2258048412: depth 11, type 5, seed 2258048412, output 2273501866 (1 descendants)
Task #2259361466: depth 12, type 3, seed 2259361466, output 21409 (0 descendants)
Task #2259749066: depth 12, type 1, seed 2259749066, output 1071843 (0 descendants)
Task #2260868100: depth 11, type 1, seed 2260868100, output 609924 (2 descendants)
Task #2262852439: depth 12, type 1, seed 2262852439, output 755439 (0 descendants)
Task #2270149271: depth 9, type 2, seed 2270149271, output 2345542104 (2 descendants)
Task #2270524729: depth 5, type 3, seed 2270524729, output 14668 (0 descendants)
Task #2272184477: depth 11, type 3, seed 2272184477, output 11466 (1 descendants)
Task #2272870352: depth 11, type 4, seed 2272870352, output 879114040 (1 descendants)
Task #2274831305: depth 11, type 5, seed 2274831305, output 834234061 (1 descendants)
Task #2275507694: depth 12, type 3, seed 2275507694, output 24248 (0 descendants)
Task #2276751035: depth 11, type 1, seed 2276751035, output 188319 (1 descendants)
Task #2277731404: depth 12, type 2, seed 2277731404, output 3733219530 (0 descendants)
Task #2284279464: depth 12, type 4, seed 2284279464, output 960063024 (0 descendants)
Task #2284538844: depth 8, type 2, seed 2284538844, output 2004006762 (1 descendants)
Task #2291101500: depth 11, type 5, seed 2291101500, output 1321862479 (0 descendants)
Task #2294171543: depth 9, type 2, seed 2294171543, output 370028434 (1 descendants)
Task #2299282740: depth 11, type 4, seed 2299282740, output 808870243 (1 descendants)
Task #2304254390: depth 12, type 3, seed 2304254390, output 13780 (0 descendants)
Task #2304527423: depth 11, type 3, seed 2304527423, output 11731 (2 descendants)
Task #2305730056: depth 12, type 2, seed 2305730056, output 1463417202 (0 descendants)
Task #2305959330: depth 12, type 3, seed 2305959330, output 13479 (0 descendants)
Task #2309063178: depth 11, type 3, seed 2309063178, output 14847 (3 descendants)
Task #2309861675: depth 12, type 1, seed 2309861675, output 436013 (0 descendants)
Task #2311271402: depth 6, type 5, seed 2311271402, output 3730032523 (4 descendants)
Task #2316754194: depth 10, type 5, seed 2316754194, output 3845139505 (1 descendants)
Task #2319563476: depth 12, type 5, seed 2319563476, output 932844659 (0 descendants)
Task #2320980139: depth 9, type 5, seed 2320980139, output 231496570 (2 descendants)
Task #2322370601: depth 11, type 3, seed 2322370601, output 24815 (2 descendants)
Task #2324472047: depth 12, type 2, seed 2324472047, output 4055942302 (0 descendants)
Task #2324958427: depth 12, type 4, seed 2324958427, output 875770677 (0 descendants)
Task #2325382425: depth 9, type 3, seed 2325382425, output 22265 (1 descendants)
Task #2330123453: depth 12, type 5, seed 2330123453, output 1831039141 (0 descendants)
Task #2334724335: depth 10, type 4, seed 2334724335, output 1647850597 (1 descendants)
Task #2337208838: depth 10, type 2, seed 2337208838, output 2564712944 (2 descendants)
Task #2339027166: depth 12, type 1, seed 2339027166, output 722249 (0 descendants)
Task #234453368: depth 11, type 4, seed 234453368, output 808543281 (2 descendants)
Task #2353513635: depth 12, type 3, seed 2353513635, output 17186 (0 descendants)
Task #2357310082: depth 12, type 5, seed 2357310082, output 2053492052 (0 descendants)
Task #2360185549: depth 12, type 5, seed 2360185549, output 106154710 (0 descendants)
Task #2365425631: depth 9, type 3, seed 2365425631, output 11683 (0 descendants)
Task #2371364256: depth 11, type 2, seed 2371364256, output 3792421876 (1 descendants)
Task #2373842875: depth 12, type 1, seed 2373842875, output 152283 (0 descendants)
Task #237794904: depth 12, type 1, seed 237794904, output 690443 (0 descendants)
Task #2380650293: depth 10, type 3, seed 2380650293, output 9833 (1 descendants)
Task #2381648604: depth 8, type 3, seed 2381648604, output 13122 (1 descendants)
Task #2383676026: depth 10, type 1, seed 2383676026, output 1053927 (1 descendants)
Task #2386524405: depth 12, type 3, seed 2386524405, output 20316 (0 descendants)
Task #2388087382: depth 9, type 5, seed 2388087382, output 2720833749 (1 descendants)
Task #2389528646: depth 12, type 5, seed 2389528646, output 832414911 (0 descendants)
Task #2390130421: depth 12, type 4, seed 2390130421, output 959658340 (0 descendants)
Task #2390304933: depth 9, type 5, seed 2390304933, output 1295324313 (5 descendants)
Task #2392491047: depth 11, type 3, seed 2392491047, output 15387 (1 descendants)
Task #2394348425: depth 11, type 3, seed 2394348425, output 13585 (2 descendants)
Task #2397365238: depth 12, type 3, seed 2397365238, output 21879 (0 descendants)
Task #2398628834: depth 11, type 4, seed 2398628834, output 828662886 (3 descendants)
Task #2409116205: depth 12, type 4, seed 2409116205, output 1717790258 (0 descendants)
Task #24158083: depth 12, type 4, seed 24158083, output 1650799157 (0 descendants)
Task #2416409689: depth 11, type 1, seed 2416409689, output 625912 (4 descendants)
Task #241769701: depth 11, type 5, seed 241769701, output 3154296963 (0 descendants)
Task #2417783516: depth 12, type 1, seed 2417783516, output 630743 (0 descendants)
Task #2420430945: depth 12, type 1, seed 2420430945, output 800730 (0 descendants)
Task #242325859: depth 9, type 5, seed 242325859, output 2272997867 (1 descendants)
Task #2444211332: depth 8, type 3, seed 2444211332, output 17809 (1 descendants)
Task #2445092631: depth 9, type 3, seed 2445092631, output 11720 (3 descendants)
Task #244577048: depth 12, type 2, seed 244577048, output 3570264795 (0 descendants)
Task #2447005883: depth 12, type 3, seed 2447005883, output 12927 (0 descendants)
Task #2447876864: depth 12, type 3, seed 2447876864, output 15212 (0 descendants)
Task #2453749212: depth 12, type 1, seed 2453749212, output 763491 (0 descendants)
Task #2454418736: depth 12, type 2, seed 2454418736, output 2355534902 (0 descendants)
Task #2458103941: depth 9, type 4, seed 2458103941, output 811741495 (2 descendants)
Task #2461532579: depth 12, type 1, seed 2461532579, output 876510 (0 descendants)
Task #2463364121: depth 9, type 1, seed 2463364121, output 742865 (1 descendants)
Task #2463573602: depth 9, type 2, seed 2463573602, output 769284127 (5 descendants)
Task #2463792296: depth 5, type 2, seed 2463792296, output 64120733 (1 descendants)
Task #2466303127: depth 12, type 2, seed 2466303127, output 1939278076 (0 descendants)
Task #2470777191: depth 12, type 3, seed 2470777191, output 14554 (0 descendants)
Task #2470821010: depth 12, type 4, seed 2470821010, output 959538743 (0 descendants)
Task #2471728434: depth 11, type 2, seed 2471728434, output 1025906406 (3 descendants)
Task #2473077242: depth 7, type 3, seed 2473077242, output 13445 (1 descendants)
Task #2474682657: depth 12, type 5, seed 2474682657, output 487837401 (0 descendants)
Task #2475841547: depth 12, type 4, seed 2475841547, output 842610021 (0 descendants)
Task #2477864714: depth 12, type 1, seed 2477864714, output 521341 (0 descendants)
Task #2479276729: depth 10, type 4, seed 2479276729, output 1684104244 (2 descendants)
Task #2479637105: depth 12, type 4, seed 2479637105, output 808726886 (0 descendants)
Task #2483463230: depth 11, type 3, seed 2483463230, output 24818 (1 descendants)
Task #248572936: depth 8, type 2, seed 248572936, output 2395483746 (1 descendants)
Task #2486062604: depth 12, type 4, seed 2486062604, output 1647522354 (0 descendants)
Task #248735539: depth 3, type 1, seed 248735539, output 795450 (3 descendants)
Task #2488857392: depth 9, type 5, seed 2488857392, output 1330679860 (0 descendants)
Task #2489239409: depth 11, type 4, seed 2489239409, output 909325619 (3 descendants)
Task #2489623272: depth 10, type 4, seed 2489623272, output 942815024 (0 descendants)
Task #2490448171: depth 12, type 2, seed 2490448171, output 32553094 (0 descendants)
Task #2499438474: depth 10, type 5, seed 2499438474, output 1954531333 (1 descendants)
Task #2499581731: depth 12, type 4, seed 2499581731, output 1667447138 (0 descendants)
Task #2503952207: depth 10, type 4, seed 2503952207, output 811689315 (2 descendants)
Task #2505717360: depth 12, type 1, seed 2505717360, output 830419 (0 descendants)
Task #250915138: depth 11, type 5, seed 250915138, output 2967132640 (2 descendants)
Task #2515552780: depth 3, type 1, seed 2515552780, output 613585 (0 descendants)
Task #251659151: depth 11, type 1, seed 251659151, output 228249 (0 descendants)
Task #2518664114: depth 11, type 5, seed 2518664114, output 1542210445 (0 descendants)
Task #2529268193: depth 11, type 1, seed 2529268193, output 554152 (3 descendants)
Task #2538312105: depth 7, type 1, seed 2538312105, output 1021168 (1 descendants)
Task #2539766182: depth 12, type 1, seed 2539766182, output 324170 (0 descendants)
Task #2541914415: depth 11, type 5, seed 2541914415, output 994513284 (1 descendants)
Task #2544027551: depth 11, type 4, seed 2544027551, output 929313593 (1 descendants)
Task #2547052443: depth 11, type 4, seed 2547052443, output 929312867 (0 descendants)
Task #2548550899: depth 11, type 4, seed 2548550899, output 878917169 (4 descendants)
Task #2548844305: depth 12, type 3, seed 2548844305, output 16278 (0 descendants)
Task #2552155373: depth 11, type 1, seed 2552155373, output 422218 (2 descendants)
Task #2556603218: depth 10, type 1, seed 2556603218, output 589750 (2 descendants)
Task #2559052915: depth 12, type 2, seed 2559052915, output 1398948700 (0 descendants)
Task #2559865606: depth 12, type 5, seed 2559865606, output 905210711 (0 descendants)
Task #256065669: depth 12, type 2, seed 256065669, output 3950399756 (0 descendants)
Task #256440650: depth 10, type 2, seed 256440650, output 490290887 (2 descendants)
Task #256685141: depth 11, type 1, seed 256685141, output 756601 (1 descendants)
Task #2569924061: depth 12, type 5, seed 2569924061, output 1366205001 (0 descendants)
Task #2575039910: depth 12, type 2, seed 2575039910, output 1741858322 (0 descendants)
Task #2576237327: depth 12, type 1, seed 2576237327, output 613157 (0 descendants)
Task #2577944073: depth 8, type 2, seed 2577944073, output 4282606371 (3 descendants)
Task #2578499792: depth 11, type 5, seed 2578499792, output 2642130535 (1 descendants)
Task #2584215761: depth 9, type 2, seed 2584215761, output 3378557542 (1 descendants)
Task #25931396: depth 7, type 4, seed 25931396, output 929261109 (3 descendants)
Task #2604275459: depth 10, type 3, seed 2604275459, output 17545 (6 descendants)
Task #2604411969: depth 12, type 2, seed 2604411969, output 766939758 (0 descendants)
Task #260547019: depth 11, type 1, seed 260547019, output 1039395 (1 descendants)
Task #2605660848: depth 11, type 5, seed 2605660848, output 2562778115 (1 descendants)
Task #2607560174: depth 11, type 4, seed 2607560174, output 942945592 (2 descendants)
Task #2608802788: depth 12, type 1, seed 2608802788, output 231125 (0 descendants)
Task #2614171702: depth 12, type 5, seed 2614171702, output 4082760039 (0 descendants)
Task #2614579405: depth 12, type 2, seed 2614579405, output 1757503406 (0 descendants)
Task #2615017486: depth 12, type 1, seed 2615017486, output 310104 (0 descendants)
Task #2615403769: depth 11, type 5, seed 2615403769, output 3045993166 (2 descendants)
Task #2615501458: depth 11, type 5, seed 2615501458, output 2039746745 (3 descendants)
Task #2617553529: depth 12, type 4, seed 2617553529, output 878983225 (0 descendants)
Task #2627240177: depth 10, type 4, seed 2627240177, output 828466481 (4 descendants)
Task #2628105485: depth 12, type 4, seed 2628105485, output 1701196089 (0 descendants)
Task #2628954067: depth 4, type 5, seed 2628954067, output 3586072339 (3 descendants)
Task #2633028989: depth 12, type 3, seed 2633028989, output 11269 (0 descendants)
Task #2633107233: depth 9, type 2, seed 2633107233, output 655625684 (1 descendants)
Task #2633378190: depth 12, type 5, seed 2633378190, output 691012834 (0 descendants)
Task #2635945210: depth 10, type 3, seed 2635945210, output 14301 (1 descendants)
Task #2638162442: depth 11, type 3, seed 2638162442, output 23432 (2 descendants)
Task #2643794957: depth 12, type 2, seed 2643794957, output 377989410 (0 descendants)
Task #2646239268: depth 11, type 5, seed 2646239268, output 23417268 (1 descendants)
Task #2652233709: depth 12, type 5, seed 2652233709, output 3392517202 (0 descendants)
Task #26557508: depth 12, type 3, seed 26557508, output 17896 (0 descendants)
Task #2657946101: depth 11, type 1, seed 2657946101, output 1060075 (2 descendants)
Task #2658501966: depth 12, type 1, seed 2658501966, output 351842 (0 descendants)
Task #2663400221: depth 12, type 1, seed 2663400221, output 131262 (0 descendants)
Task #2664291766: depth 10, type 5, seed 2664291766, output 1956063941 (1 descendants)
Task #2666011090: depth 12, type 5, seed 2666011090, output 3038817979 (0 descendants)
Task #2666568749: depth 12, type 3, seed 2666568749, output 12581 (0 descendants)
Task #2669519461: depth 9, type 3, seed 2669519461, output 11786 (0 descendants)
Task #2675413495: depth 12, type 3, seed 2675413495, output 21177 (0 descendants)
Task #2678560531: depth 11, type 3, seed 2678560531, output 16603 (1 descendants)
Task #2684574033: depth 8, type 3, seed 2684574033, output 16321 (1 descendants)
Task #2686011589: depth 11, type 2, seed 2686011589, output 416844692 (2 descendants)
Task #2696624429: depth 10, type 1, seed 2696624429, output 525665 (1 descendants)
Task #2698890161: depth 10, type 4, seed 2698890161, output 1630744675 (4 descendants)
Task #2700227155: depth 8, type 2, seed 2700227155, output 3661756193 (1 descendants)
Task #2703008985: depth 12, type 3, seed 2703008985, output 9532 (0 descendants)
Task #2710469691: depth 8, type 4, seed 2710469691, output 895824227 (2 descendants)
Task #2712626637: depth 12, type 5, seed 2712626637, output 1019723282 (0 descendants)
Task #271304623: depth 11, type 3, seed 271304623, output 19025 (4 descendants)
Task #2713377533: depth 12, type 3, seed 2713377533, output 14324 (0 descendants)
Task #271409062: depth 11, type 2, seed 271409062, output 1329993297 (1 descendants)
Task #2715214671: depth 12, type 3, seed 2715214671, output 11878 (0 descendants)
Task #271637938: depth 10, type 5, seed 271637938, output 529206481 (2 descendants)
Task #2717979727: depth 5, type 4, seed 2717979727, output 1714434913 (3 descendants)
Task #2718281828: depth 0, type 2, seed 2718281828, output 4206840270 (1 descendants)
Task #2719061810: depth 9, type 5, seed 2719061810, output 1290031018 (1 descendants)
Task #2723317839: depth 12, type 2, seed 2723317839, output 1484106743 (0 descendants)
Task #2724164740: depth 12, type 5, seed 2724164740, output 200862621 (0 descendants)
Task #2728086613: depth 10, type 5, seed 2728086613, output 3753492874 (3 descendants)
Task #2728390216: depth 12, type 3, seed 2728390216, output 18846 (0 descendants)
Task #2728653559: depth 12, type 1, seed 2728653559, output 657898 (0 descendants)
Task #2729392771: depth 12, type 3, seed 2729392771, output 11372 (0 descendants)
Task #2730408575: depth 11, type 5, seed 2730408575, output 2896718638 (4 descendants)
Task #2730636924: depth 12, type 1, seed 2730636924, output 138838 (0 descendants)
Task #273072240: depth 10, type 4, seed 273072240, output 879113011 (5 descendants)
Task #2734473401: depth 12, type 1, seed 2734473401, output 1063127 (0 descendants)
Task #2737072890: depth 12, type 1, seed 2737072890, output 1072020 (0 descendants)
Task #2737138880: depth 11, type 2, seed 2737138880, output 223441722 (0 descendants)
Task #2743526127: depth 10, type 4, seed 2743526127, output 858796338 (3 descendants)
Task #2747568750: depth 11, type 1, seed 2747568750, output 699288 (2 descendants)
Task #2750335017: depth 7, type 1, seed 2750335017, output 797661 (2 descendants)
Task #2753903106: depth 12, type 3, seed 2753903106, output 21130 (0 descendants)
Task #275691221: depth 12, type 2, seed 275691221, output 3729185735 (0 descendants)
Task #2759525240: depth 10, type 2, seed 2759525240, output 3602862101 (2 descendants)
Task #2761159747: depth 12, type 4, seed 2761159747, output 926431331 (0 descendants)
Task #2764694084: depth 12, type 1, seed 2764694084, output 221866 (0 descendants)
Task #2766298279: depth 11, type 1, seed 2766298279, output 766116 (2 descendants)
Task #2767235208: depth 6, type 5, seed 2767235208, output 780166743 (0 descendants)
Task #2772798770: depth 11, type 4, seed 2772798770, output 1697854819 (2 descendants)
Task #2777991883: depth 10, type 5, seed 2777991883, output 3822973380 (0 descendants)
Task #2779204782: depth 6, type 5, seed 2779204782, output 2470062033 (0 descendants)
Task #2780414655: depth 10, type 4, seed 2780414655, output 909456483 (0 descendants)
Task #2782097676: depth 11, type 2, seed 2782097676, output 2420776756 (0 descendants)
Task #2782327486: depth 11, type 1, seed 2782327486, output 746840 (0 descendants)
Task #2783438409: depth 11, type 5, seed 2783438409, output 2949700259 (2 descendants)
Task #2783859013: depth 9, type 2, seed 2783859013, output 895214343 (3 descendants)
Task #2784029852: depth 12, type 1, seed 2784029852, output 800234 (0 descendants)
Task #2786946190: depth 10, type 3, seed 2786946190, output 13516 (2 descendants)
Task #2787953914: depth 10, type 4, seed 2787953914, output 808477235 (2 descendants)
Task #2789348458: depth 12, type 3, seed 2789348458, output 14017 (0 descendants)
Task #2792484888: depth 12, type 5, seed 2792484888, output 1594319786 (0 descendants)
Task #280001435: depth 9, type 1, seed 280001435, output 607649 (0 descendants)
Task #280152311: depth 11, type 2, seed 280152311, output 2429881625 (4 descendants)
Task #2805230022: depth 12, type 1, seed 2805230022, output 44100 (0 descendants)
Task #2808506317: depth 9, type 1, seed 2808506317, output 542332 (2 descendants)
Task #2808888717: depth 11, type 3, seed 2808888717, output 19051 (1 descendants)
Task #2813757530: depth 12, type 4, seed 2813757530, output 825779555 (0 descendants)
Task #2818342072: depth 1, type 5, seed 2818342072, output 281208391 (2 descendants)
Task #2819368943: depth 12, type 3, seed 2819368943, output 26433 (0 descendants)
Task #2824394421: depth 12, type 5, seed 2824394421, output 830651476 (0 descendants)
Task #2828810744: depth 11, type 2, seed 2828810744, output 1747470286 (1 descendants)
Task #2833026067: depth 10, type 3, seed 2833026067, output 19843 (1 descendants)
Task #2833720981: depth 10, type 5, seed 2833720981, output 2282779125 (1 descendants)
Task #2835836326: depth 10, type 3, seed 2835836326, output 20207 (0 descendants)
Task #2841106946: depth 10, type 3, seed 2841106946, output 10133 (2 descendants)
Task #2842247220: depth 11, type 3, seed 2842247220, output 14849 (1 descendants)
Task #2842708297: depth 7, type 1, seed 2842708297, output 205002 (5 descendants)
Task #2843199085: depth 10, type 4, seed 2843199085, output 828649828 (2 descendants)
Task #284533533: depth 9, type 5, seed 284533533, output 3290119430 (3 descendants)
Task #2852044246: depth 12, type 1, seed 2852044246, output 581096 (0 descendants)
Task #2863376443: depth 11, type 1, seed 2863376443, output 445480 (1 descendants)
Task #2865072412: depth 11, type 5, seed 2865072412, output 2855485483 (1 descendants)
Task #2867742506: depth 11, type 5, seed 2867742506, output 1311788092 (2 descendants)
Task #2869111739: depth 11, type 1, seed 2869111739, output 1025574 (1 descendants)
Task #2873581143: depth 9, type 5, seed 2873581143, output 3988638406 (0 descendants)
Task #2876528242: depth 9, type 3, seed 2876528242, output 14423 (2 descendants)
Task #2879804425: depth 12, type 5, seed 2879804425, output 356060209 (0 descendants)
Task #2884146844: depth 7, type 4, seed 2884146844, output 1630746420 (1 descendants)
Task #2887699923: depth 10, type 5, seed 2887699923, output 2472090905 (1 descendants)
Task #2890237380: depth 12, type 3, seed 2890237380, output 15237 (0 descendants)
Task #2893757188: depth 10, type 4, seed 2893757188, output 876164406 (3 descendants)
Task #2894703632: depth 9, type 4, seed 2894703632, output 875837795 (1 descendants)
Task #2897007503: depth 12, type 3, seed 2897007503, output 17664 (0 descendants)
Task #2898615170: depth 9, type 1, seed 2898615170, output 48707 (2 descendants)
Task #2899823572: depth 10, type 2, seed 2899823572, output 2869775965 (1 descendants)
Task #2902860862: depth 11, type 1, seed 2902860862, output 113813 (1 descendants)
Task #2907188032: depth 12, type 4, seed 2907188032, output 962738480 (0 descendants)
Task #2911845383: depth 12, type 4, seed 2911845383, output 892416310 (0 descendants)
Task #2913829344: depth 5, type 2, seed 2913829344, output 3810197198 (3 descendants)
Task #2914711766: depth 12, type 3, seed 2914711766, output 10717 (0 descendants)
Task #2918075827: depth 11, type 4, seed 2918075827, output 811819619 (2 descendants)
Task #2921062168: depth 12, type 4, seed 2921062168, output 909665125 (0 descendants)
Task #2924882876: depth 1, type 2, seed 2924882876, output 901097930 (0 descendants)
Task #2925322673: depth 10, type 1, seed 2925322673, output 766620 (1 descendants)
Task #2927301838: depth 11, type 5, seed 2927301838, output 3497495451 (3 descendants)
Task #292776917: depth 10, type 4, seed 292776917, output 859202658 (2 descendants)
Task #2928384842: depth 12, type 4, seed 2928384842, output 962750050 (0 descendants)
Task #2930283459: depth 12, type 3, seed 2930283459, output 17050 (0 descendants)
Task #2938089316: depth 11, type 1, seed 2938089316, output 663268 (2 descendants)
Task #2942123640: depth 11, type 1, seed 2942123640, output 1016652 (3 descendants)
Task #2944702461: depth 6, type 2, seed 2944702461, output 615614069 (2 descendants)
Task #2944967873: depth 12, type 4, seed 2944967873, output 828780900 (0 descendants)
Task #2949674267: depth 11, type 3, seed 2949674267, output 18132 (1 descendants)
Task #2957126665: depth 8, type 4, seed 2957126665, output 909391665 (4 descendants)
Task #2957515701: depth 11, type 2, seed 2957515701, output 2280253709 (2 descendants)
Task #2957997454: depth 10, type 5, seed 2957997454, output 3164644180 (3 descendants)
Task #2961774485: depth 11, type 2, seed 2961774485, output 1864290854 (2 descendants)
Task #2962519935: depth 12, type 2, seed 2962519935, output 3437710685 (0 descendants)
Task #2967258871: depth 10, type 1, seed 2967258871, output 487513 (1 descendants)
Task #2967519074: depth 10, type 2, seed 2967519074, output 4254979635 (0 descendants)
Task #2974914814: depth 7, type 3, seed 2974914814, output 13279 (2 descendants)
Task #2975637682: depth 5, type 4, seed 2975637682, output 862282081 (0 descendants)
Task #298031711: depth 12, type 4, seed 298031711, output 1717855793 (0 descendants)
Task #2985228400: depth 11, type 5, seed 2985228400, output 3602450259 (2 descendants)
Task #2986248718: depth 11, type 1, seed 2986248718, output 856458 (1 descendants)
Task #2990347305: depth 8, type 5, seed 2990347305, output 589100102 (2 descendants)
Task #2992966556: depth 12, type 1, seed 2992966556, output 269000 (0 descendants)
Task #299317565: depth 12, type 1, seed 299317565, output 113138 (0 descendants)
Task #2996539959: depth 9, type 2, seed 2996539959, output 3220254930 (0 descendants)
Task #2999287493: depth 11, type 3, seed 2999287493, output 19481 (5 descendants)
Task #3005697899: depth 9, type 5, seed 3005697899, output 2725338029 (1 descendants)
Task #3017394363: depth 12, type 4, seed 3017394363, output 925906487 (0 descendants)
